ID,BILL_NUMBER,METHOD,TIP
6611,259948,Karta,13
6612,14202,Gotówka,31
6613,5706,Gotówka,55
6614,87231,Karta,147
6615,259371,Czek,144
6616,79700,Karta,109
6617,107672,Gotówka,26
6618,11374,Bon,14
6619,103222,Karta,109
6620,247957,Czek,148
6621,100544,Gotówka,85
6622,61111,Karta,22
6623,161605,Bon,123
6624,185456,Karta,106
6625,83356,Bon,101
6626,215545,Gotówka,44
6627,74037,Czek,145
6628,112034,Gotówka,100
6629,117294,Bon,121
6630,155977,Czek,118
6631,236648,Bon,137
6632,119945,Gotówka,137
6633,46111,Gotówka,1
6634,139912,Gotówka,102
6635,76923,Czek,12
6636,158828,Karta,104
6637,62278,Karta,32
6638,94387,Czek,7
6639,4361,Bon,57
6640,238355,Bon,75
6641,16911,Czek,133
6642,70060,Czek,150
6643,284830,Bon,3
6644,26654,Karta,143
6645,179600,Bon,112
6646,29906,Gotówka,15
6647,22637,Karta,36
6648,90753,Gotówka,48
6649,299607,Gotówka,96
6650,295121,Karta,1
6651,116593,Karta,8
6652,48524,Gotówka,135
6653,251751,Karta,134
6654,172655,Czek,99
6655,255700,Bon,104
6656,258512,Gotówka,95
6657,54841,Karta,123
6658,232692,Bon,106
6659,262015,Bon,47
6660,179165,Bon,48
6661,123970,Karta,94
6662,18626,Gotówka,33
6663,14003,Gotówka,59
6664,240916,Gotówka,88
6665,27110,Gotówka,22
6666,267584,Gotówka,119
6667,16666,Czek,116
6668,43875,Bon,43
6669,193070,Karta,34
6670,94453,Czek,66
6671,259644,Gotówka,82
6672,42262,Karta,138
6673,146637,Czek,15
6674,265116,Gotówka,81
6675,222636,Gotówka,101
6676,243977,Czek,64
6677,152815,Gotówka,22
6678,52619,Gotówka,145
6679,8000,Czek,141
6680,7369,Czek,115
6681,38256,Czek,89
6682,243536,Bon,72
6683,220417,Czek,51
6684,200116,Bon,131
6685,203533,Czek,136
6686,194716,Bon,6
6687,174967,Bon,3
6688,271803,Czek,92
6689,289298,Bon,88
6690,85937,Bon,80
6691,52215,Bon,6
6692,102088,Czek,125
6693,129259,Karta,1
6694,201124,Gotówka,141
6695,126128,Bon,94
6696,126643,Karta,135
6697,134892,Bon,26
6698,287748,Czek,11
6699,129889,Czek,57
6700,137801,Czek,146
6701,159745,Gotówka,105
6702,111046,Gotówka,131
6703,106338,Karta,142
6704,187409,Bon,6
6705,14659,Karta,20
6706,67642,Czek,5
6707,99445,Karta,67
6708,290130,Karta,57
6709,285623,Karta,79
6710,270931,Bon,91
6711,1157,Bon,92
6712,99533,Czek,148
6713,116325,Czek,2
6714,221054,Bon,2
6715,82743,Karta,69
6716,56725,Karta,70
6717,252502,Czek,87
6718,187465,Karta,2
6719,198839,Gotówka,48
6720,30378,Czek,98
6721,294558,Gotówka,147
6722,54121,Czek,136
6723,262825,Karta,70
6724,14391,Gotówka,141
6725,255883,Czek,95
6726,104418,Bon,16
6727,52101,Gotówka,8
6728,219220,Gotówka,95
6729,195948,Karta,130
6730,119419,Karta,43
6731,243917,Gotówka,126
6732,198992,Gotówka,145
6733,119991,Bon,29
6734,93855,Gotówka,36
6735,270689,Gotówka,2
6736,65263,Gotówka,76
6737,66239,Bon,35
6738,11215,Karta,45
6739,45514,Gotówka,129
6740,278623,Bon,49
6741,75600,Gotówka,138
6742,51550,Gotówka,147
6743,123058,Czek,129
6744,154538,Gotówka,27
6745,1986,Karta,68
6746,270184,Karta,52
6747,237127,Bon,121
6748,109206,Gotówka,119
6749,29340,Czek,50
6750,199406,Gotówka,16
6751,157418,Gotówka,19
6752,15018,Gotówka,2
6753,52087,Bon,103
6754,259757,Karta,116
6755,279971,Karta,62
6756,186590,Bon,124
6757,250613,Gotówka,142
6758,146345,Karta,80
6759,51405,Czek,32
6760,247327,Czek,77
6761,83366,Gotówka,136
6762,17502,Karta,86
6763,281132,Karta,122
6764,46122,Gotówka,40
6765,292794,Bon,142
6766,100341,Czek,115
6767,237283,Bon,99
6768,57993,Gotówka,37
6769,7390,Bon,61
6770,218343,Karta,83
6771,223243,Karta,44
6772,227089,Gotówka,84
6773,160311,Karta,26
6774,275384,Bon,41
6775,47885,Bon,38
6776,214506,Karta,75
6777,109744,Gotówka,93
6778,246750,Karta,12
6779,74460,Czek,8
6780,218440,Bon,50
6781,55778,Karta,45
6782,277419,Karta,85
6783,197386,Gotówka,101
6784,103742,Gotówka,61
6785,107753,Bon,21
6786,133484,Karta,71
6787,228851,Czek,12
6788,81624,Gotówka,50
6789,180916,Gotówka,12
6790,172074,Karta,16
6791,226855,Czek,88
6792,289099,Karta,80
6793,120024,Bon,94
6794,240915,Czek,135
6795,13356,Karta,60
6796,240922,Gotówka,144
6797,65360,Czek,66
6798,235033,Gotówka,130
6799,91733,Gotówka,134
6800,54649,Gotówka,40
6801,102238,Gotówka,45
6802,104842,Czek,78
6803,282130,Gotówka,124
6804,271207,Czek,142
6805,208925,Bon,79
6806,297290,Gotówka,145
6807,54935,Gotówka,39
6808,101742,Bon,82
6809,73378,Karta,128
6810,134679,Gotówka,135
6811,89991,Karta,71
6812,92471,Bon,43
6813,187990,Gotówka,124
6814,61912,Gotówka,36
6815,163830,Karta,39
6816,156060,Bon,134
6817,194061,Bon,47
6818,189807,Gotówka,12
6819,90713,Bon,36
6820,222143,Bon,101
6821,106497,Czek,18
6822,136161,Gotówka,101
6823,53959,Karta,95
6824,198623,Gotówka,34
6825,49908,Karta,96
6826,50484,Gotówka,142
6827,53622,Bon,18
6828,67853,Gotówka,57
6829,223116,Gotówka,54
6830,117733,Karta,97
6831,63138,Czek,127
6832,111428,Czek,7
6833,267725,Karta,73
6834,58873,Czek,32
6835,11637,Gotówka,45
6836,224995,Karta,92
6837,203908,Czek,56
6838,205209,Czek,41
6839,37206,Karta,66
6840,222714,Czek,60
6841,173386,Gotówka,128
6842,221472,Bon,147
6843,224087,Bon,82
6844,282916,Bon,78
6845,143219,Gotówka,89
6846,210603,Bon,131
6847,134557,Bon,82
6848,64430,Bon,68
6849,183763,Karta,71
6850,117088,Gotówka,117
6851,227668,Bon,73
6852,196589,Gotówka,49
6853,257592,Bon,145
6854,79099,Czek,40
6855,187199,Karta,46
6856,224933,Karta,44
6857,269684,Karta,106
6858,156952,Bon,59
6859,261889,Gotówka,30
6860,257438,Czek,109
6861,186438,Karta,124
6862,231144,Gotówka,101
6863,54550,Karta,30
6864,65930,Bon,103
6865,55331,Czek,47
6866,199699,Bon,99
6867,102796,Gotówka,7
6868,91521,Bon,37
6869,81982,Czek,15
6870,106653,Gotówka,106
6871,239609,Gotówka,49
6872,193706,Czek,62
6873,293182,Karta,8
6874,267130,Bon,98
6875,277376,Karta,28
6876,137148,Bon,62
6877,156138,Karta,7
6878,6841,Czek,134
6879,225319,Bon,126
6880,280922,Czek,113
6881,269051,Karta,72
6882,174421,Karta,13
6883,46061,Bon,43
6884,84736,Czek,139
6885,104732,Gotówka,84
6886,13049,Bon,124
6887,63161,Czek,112
6888,284265,Czek,9
6889,207629,Czek,14
6890,146874,Bon,116
6891,274546,Bon,102
6892,80715,Czek,48
6893,261325,Czek,104
6894,52657,Bon,85
6895,231786,Czek,20
6896,289204,Bon,119
6897,166329,Gotówka,90
6898,127869,Bon,31
6899,19104,Karta,94
6900,14951,Bon,79
6901,295522,Bon,115
6902,149302,Gotówka,98
6903,292771,Karta,70
6904,162598,Karta,106
6905,42224,Bon,125
6906,277404,Czek,147
6907,247939,Gotówka,35
6908,199934,Czek,140
6909,244638,Karta,86
6910,81395,Karta,93
6911,266640,Gotówka,133
6912,135126,Bon,99
6913,147338,Gotówka,80
6914,262695,Karta,2
6915,271956,Czek,102
6916,291467,Gotówka,85
6917,292641,Bon,125
6918,254981,Gotówka,72
6919,83426,Bon,93
6920,233470,Gotówka,61
6921,66873,Bon,87
6922,102035,Gotówka,51
6923,208870,Gotówka,145
6924,53230,Karta,97
6925,128885,Czek,54
6926,59715,Gotówka,120
6927,183792,Gotówka,77
6928,123840,Bon,109
6929,76992,Bon,105
6930,32920,Gotówka,129
6931,230286,Karta,19
6932,278718,Bon,25
6933,151277,Karta,90
6934,63527,Gotówka,26
6935,187321,Bon,12
6936,210926,Gotówka,88
6937,40904,Bon,122
6938,280544,Gotówka,22
6939,97694,Karta,11
6940,244296,Bon,54
6941,235661,Bon,65
6942,257398,Bon,26
6943,246219,Czek,47
6944,234252,Czek,57
6945,10114,Karta,150
6946,247203,Bon,6
6947,226578,Gotówka,112
6948,74500,Karta,105
6949,51691,Karta,39
6950,154032,Karta,36
6951,115798,Karta,0
6952,38177,Czek,26
6953,264790,Bon,41
6954,202847,Karta,48
6955,41101,Karta,75
6956,34468,Czek,100
6957,236393,Bon,103
6958,292200,Bon,84
6959,4025,Gotówka,111
6960,55156,Gotówka,40
6961,116572,Czek,103
6962,290873,Czek,5
6963,113291,Karta,124
6964,137161,Karta,82
6965,72788,Czek,144
6966,6992,Bon,48
6967,124975,Karta,145
6968,125936,Bon,143
6969,72207,Czek,83
6970,241702,Bon,109
6971,76102,Bon,118
6972,86590,Gotówka,97
6973,270272,Gotówka,43
6974,236607,Gotówka,126
6975,37051,Bon,58
6976,107026,Karta,147
6977,11501,Bon,24
6978,64329,Gotówka,23
6979,296256,Czek,145
6980,744,Karta,14
6981,60327,Bon,38
6982,66447,Czek,62
6983,110744,Czek,8
6984,140297,Karta,55
6985,46254,Czek,139
6986,291448,Bon,69
6987,249736,Gotówka,139
6988,14482,Gotówka,109
6989,257751,Czek,34
6990,166571,Czek,145
6991,239907,Czek,75
6992,189875,Czek,13
6993,173254,Bon,9
6994,203417,Bon,139
6995,113932,Bon,70
6996,71180,Bon,39
6997,181582,Karta,0
6998,112614,Gotówka,125
6999,59163,Gotówka,78
7000,150438,Czek,55
7001,190114,Bon,148
7002,179066,Bon,135
7003,75634,Czek,53
7004,206505,Czek,99
7005,89265,Bon,99
7006,47874,Karta,12
7007,153937,Karta,20
7008,209303,Bon,150
7009,250612,Czek,27
7010,71010,Gotówka,65
7011,267794,Czek,62
7012,31351,Bon,124
7013,16211,Bon,4
7014,53709,Gotówka,128
7015,86901,Karta,35
7016,133521,Gotówka,140
7017,293726,Bon,52
7018,289830,Bon,147
7019,269722,Czek,48
7020,274154,Bon,109
7021,202583,Bon,131
7022,97812,Gotówka,127
7023,261171,Czek,28
7024,294860,Karta,67
7025,64550,Bon,13
7026,244344,Czek,88
7027,154557,Gotówka,56
7028,250094,Czek,13
7029,216038,Gotówka,61
7030,247836,Karta,15
7031,55570,Bon,11
7032,222312,Gotówka,7
7033,48595,Gotówka,72
7034,153790,Bon,52
7035,241925,Czek,143
7036,222580,Gotówka,104
7037,99097,Bon,20
7038,190236,Gotówka,148
7039,262834,Bon,146
7040,201329,Czek,147
7041,192131,Gotówka,78
7042,33379,Gotówka,114
7043,256735,Bon,80
7044,62769,Bon,106
7045,79078,Czek,107
7046,274448,Czek,115
7047,85089,Karta,91
7048,135267,Gotówka,58
7049,75031,Gotówka,26
7050,273545,Bon,126
7051,292838,Karta,44
7052,125155,Bon,45
7053,241470,Bon,9
7054,72609,Karta,94
7055,134727,Czek,53
7056,29229,Gotówka,35
7057,218371,Bon,105
7058,277388,Bon,133
7059,299695,Czek,110
7060,190824,Karta,121
7061,272950,Czek,15
7062,224097,Bon,28
7063,289491,Czek,39
7064,52438,Czek,39
7065,296719,Gotówka,137
7066,66429,Bon,18
7067,260178,Karta,126
7068,137355,Karta,134
7069,20489,Czek,106
7070,257665,Bon,148
7071,42821,Bon,129
7072,47083,Bon,14
7073,251566,Czek,122
7074,266622,Czek,63
7075,42950,Bon,117
7076,58159,Karta,148
7077,99683,Czek,65
7078,29562,Gotówka,150
7079,263410,Gotówka,28
7080,181384,Karta,73
7081,259359,Czek,4
7082,154481,Czek,85
7083,262300,Gotówka,86
7084,192284,Czek,115
7085,272771,Bon,119
7086,85383,Czek,122
7087,84290,Karta,132
7088,292813,Czek,18
7089,208816,Bon,21
7090,123525,Bon,99
7091,46236,Bon,86
7092,227574,Czek,66
7093,281271,Bon,147
7094,240612,Gotówka,77
7095,41014,Czek,14
7096,90354,Bon,133
7097,24231,Czek,122
7098,264604,Czek,54
7099,272964,Karta,147
7100,249695,Karta,98
7101,66619,Czek,74
7102,30092,Czek,127
7103,137413,Czek,10
7104,274064,Bon,88
7105,71767,Bon,145
7106,42481,Bon,6
7107,21748,Bon,58
7108,185516,Czek,14
7109,155965,Bon,143
7110,169716,Bon,94
7111,6065,Czek,117
7112,68180,Karta,93
7113,195747,Karta,102
7114,102231,Karta,81
7115,175720,Karta,69
7116,61975,Karta,91
7117,19841,Karta,5
7118,40564,Czek,112
7119,290344,Czek,38
7120,24943,Czek,33
7121,167553,Czek,147
7122,174195,Karta,91
7123,281006,Bon,78
7124,276394,Gotówka,22
7125,242316,Bon,125
7126,45765,Gotówka,61
7127,42696,Gotówka,144
7128,156814,Gotówka,45
7129,31872,Karta,10
7130,141160,Karta,90
7131,49418,Bon,32
7132,219561,Karta,143
7133,103231,Czek,82
7134,274442,Karta,73
7135,193136,Gotówka,130
7136,286444,Bon,1
7137,294768,Gotówka,49
7138,139859,Czek,41
7139,76988,Gotówka,128
7140,30729,Czek,100
7141,58086,Bon,133
7142,237470,Karta,128
7143,64758,Gotówka,127
7144,66362,Bon,147
7145,66724,Czek,94
7146,226364,Bon,117
7147,96691,Bon,93
7148,186488,Czek,110
7149,151342,Gotówka,125
7150,135185,Czek,48
7151,165019,Karta,29
7152,136736,Gotówka,31
7153,103637,Czek,106
7154,52855,Bon,69
7155,5738,Gotówka,112
7156,22663,Czek,146
7157,197912,Czek,143
7158,179733,Gotówka,37
7159,151716,Gotówka,139
7160,109793,Bon,3
7161,2221,Bon,42
7162,105126,Gotówka,2
7163,61941,Karta,134
7164,261426,Bon,49
7165,293823,Gotówka,8
7166,14913,Karta,15
7167,47039,Gotówka,59
7168,117764,Czek,67
7169,69224,Karta,139
7170,81917,Bon,16
7171,17877,Bon,69
7172,47781,Bon,56
7173,43670,Karta,138
7174,12659,Gotówka,148
7175,158195,Karta,27
7176,50388,Bon,62
7177,201471,Gotówka,93
7178,75740,Karta,81
7179,112530,Czek,25
7180,292824,Bon,117
7181,233288,Karta,51
7182,236448,Gotówka,9
7183,126834,Czek,108
7184,176675,Gotówka,10
7185,60839,Karta,138
7186,222078,Bon,79
7187,40809,Karta,4
7188,60106,Bon,145
7189,42087,Bon,5
7190,8502,Gotówka,130
7191,153603,Czek,22
7192,74842,Gotówka,16
7193,118654,Gotówka,138
7194,273929,Gotówka,88
7195,256189,Czek,42
7196,29766,Czek,137
7197,245292,Czek,96
7198,177130,Czek,18
7199,244145,Bon,39
7200,194869,Karta,109
7201,164300,Bon,14
7202,172041,Czek,22
7203,210610,Karta,130
7204,184093,Bon,148
7205,174596,Karta,134
7206,97809,Bon,42
7207,165952,Czek,89
7208,128892,Czek,98
7209,142189,Czek,139
7210,103430,Gotówka,62
7211,134013,Karta,127
7212,96809,Karta,77
7213,165416,Czek,1
7214,144227,Gotówka,84
7215,171628,Gotówka,18
7216,293981,Gotówka,83
7217,187816,Gotówka,115
7218,418,Bon,46
7219,224621,Karta,122
7220,67146,Karta,141
7221,61436,Gotówka,102
7222,2043,Bon,52
7223,288669,Gotówka,15
7224,77746,Czek,134
7225,195112,Gotówka,28
7226,282464,Czek,148
7227,227125,Bon,11
7228,123786,Bon,126
7229,83361,Czek,25
7230,193686,Bon,23
7231,19819,Bon,21
7232,247111,Bon,93
7233,246716,Czek,39
7234,111721,Bon,43
7235,18130,Bon,129
7236,237912,Karta,66
7237,171290,Gotówka,112
7238,103827,Bon,53
7239,143637,Karta,126
7240,58894,Karta,11
7241,44398,Bon,101
7242,122876,Gotówka,53
7243,3705,Bon,24
7244,232993,Gotówka,141
7245,275579,Gotówka,96
7246,222947,Karta,29
7247,71752,Gotówka,145
7248,198445,Karta,68
7249,226988,Bon,10
7250,297103,Gotówka,122
7251,3528,Czek,77
7252,96937,Czek,46
7253,74274,Gotówka,89
7254,88385,Gotówka,42
7255,296259,Czek,128
7256,208700,Czek,29
7257,123929,Karta,89
7258,170958,Karta,0
7259,144906,Gotówka,111
7260,169221,Gotówka,28
7261,220633,Karta,59
7262,19304,Czek,88
7263,140761,Czek,126
7264,31839,Karta,107
7265,25094,Gotówka,111
7266,44577,Karta,57
7267,14795,Czek,110
7268,251013,Karta,26
7269,212076,Czek,44
7270,290634,Czek,76
7271,136290,Bon,133
7272,249382,Karta,21
7273,82808,Karta,45
7274,40153,Karta,13
7275,244580,Bon,105
7276,278803,Bon,47
7277,3524,Bon,116
7278,256015,Czek,22
7279,248099,Karta,61
7280,216807,Bon,132
7281,237572,Czek,100
7282,164837,Gotówka,122
7283,8822,Gotówka,146
7284,242504,Czek,111
7285,275504,Czek,139
7286,140727,Bon,148
7287,249433,Czek,72
7288,254610,Karta,34
7289,277784,Karta,93
7290,281573,Karta,54
7291,42020,Karta,28
7292,85372,Gotówka,141
7293,47664,Czek,75
7294,29897,Bon,34
7295,38007,Bon,142
7296,119440,Karta,43
7297,144202,Czek,49
7298,81097,Bon,94
7299,152861,Bon,130
7300,178844,Bon,10
7301,261179,Bon,71
7302,202720,Czek,14
7303,176235,Bon,127
7304,272169,Czek,149
7305,249801,Czek,60
7306,107585,Czek,114
7307,157230,Bon,29
7308,59615,Bon,26
7309,215093,Bon,116
7310,259692,Bon,113
7311,7271,Bon,10
7312,261687,Karta,136
7313,296872,Gotówka,105
7314,277164,Czek,56
7315,29971,Bon,130
7316,69002,Karta,96
7317,214029,Bon,149
7318,151156,Karta,143
7319,181045,Gotówka,2
7320,149955,Czek,36
7321,2820,Karta,64
7322,28665,Gotówka,95
7323,22297,Gotówka,124
7324,113967,Czek,50
7325,93594,Gotówka,93
7326,153677,Gotówka,24
7327,11561,Karta,77
7328,205281,Czek,103
7329,150397,Karta,124
7330,53821,Gotówka,6
7331,125964,Bon,72
7332,77099,Karta,49
7333,287853,Bon,4
7334,68143,Gotówka,25
7335,7570,Gotówka,34
7336,263730,Karta,33
7337,270537,Karta,95
7338,166676,Karta,55
7339,152022,Karta,17
7340,67955,Czek,148
7341,222573,Karta,20
7342,141563,Gotówka,23
7343,148597,Karta,63
7344,294368,Bon,123
7345,177541,Bon,137
7346,79813,Czek,103
7347,90549,Bon,113
7348,42651,Gotówka,108
7349,251174,Bon,120
7350,201413,Bon,28
7351,77977,Bon,97
7352,259475,Karta,0
7353,134163,Czek,122
7354,102160,Czek,86
7355,243714,Karta,86
7356,137083,Czek,142
7357,187981,Czek,129
7358,147304,Karta,56
7359,277022,Bon,95
7360,255440,Karta,14
7361,152119,Gotówka,45
7362,13890,Czek,46
7363,7514,Czek,10
7364,58408,Czek,52
7365,147425,Karta,117
7366,271685,Czek,64
7367,240515,Gotówka,108
7368,192887,Bon,113
7369,10685,Gotówka,121
7370,65093,Karta,76
7371,288408,Karta,138
7372,38764,Gotówka,63
7373,191498,Bon,95
7374,24407,Karta,108
7375,212201,Gotówka,61
7376,122695,Czek,98
7377,4187,Karta,150
7378,105592,Gotówka,28
7379,196171,Karta,66
7380,34079,Gotówka,69
7381,271688,Czek,1
7382,281515,Karta,64
7383,84297,Czek,19
7384,296677,Czek,95
7385,238149,Karta,149
7386,274489,Czek,52
7387,207881,Czek,107
7388,179647,Karta,56
7389,54706,Czek,19
7390,278406,Czek,144
7391,18569,Czek,97
7392,224710,Karta,121
7393,95647,Karta,12
7394,254100,Czek,75
7395,115283,Gotówka,141
7396,3200,Gotówka,64
7397,120414,Bon,123
7398,180833,Czek,99
7399,46391,Czek,59
7400,169047,Bon,89
7401,55391,Karta,90
7402,4515,Bon,79
7403,232310,Bon,15
7404,74087,Bon,89
7405,55963,Bon,138
7406,197555,Karta,83
7407,271295,Gotówka,115
7408,240834,Gotówka,62
7409,182363,Karta,6
7410,267520,Gotówka,38
7411,105624,Karta,19
7412,33524,Bon,9
7413,192526,Karta,77
7414,210584,Bon,68
7415,171919,Czek,132
7416,12640,Czek,48
7417,296068,Czek,35
7418,12295,Bon,96
7419,177207,Karta,136
7420,196607,Karta,116
7421,54303,Czek,72
7422,278775,Gotówka,53
7423,259665,Gotówka,110
7424,222169,Karta,64
7425,271031,Czek,86
7426,59651,Bon,149
7427,288880,Bon,12
7428,20979,Gotówka,51
7429,75831,Czek,140
7430,108883,Gotówka,40
7431,220568,Gotówka,105
7432,196922,Bon,20
7433,83521,Gotówka,30
7434,72543,Karta,60
7435,21229,Karta,31
7436,39447,Karta,58
7437,261688,Karta,49
7438,173114,Karta,112
7439,98531,Gotówka,128
7440,149226,Czek,146
7441,164507,Czek,22
7442,295107,Bon,66
7443,63097,Gotówka,8
7444,13152,Bon,21
7445,259317,Karta,117
7446,201722,Czek,113
7447,76157,Czek,22
7448,276336,Bon,80
7449,136465,Karta,7
7450,4198,Bon,121
7451,140412,Gotówka,33
7452,189211,Gotówka,101
7453,30199,Karta,83
7454,154444,Gotówka,99
7455,221980,Bon,92
7456,24586,Gotówka,94
7457,241779,Czek,100
7458,299570,Karta,102
7459,161573,Czek,92
7460,23718,Czek,136
7461,85303,Gotówka,112
7462,255447,Karta,43
7463,179639,Czek,19
7464,201450,Gotówka,74
7465,60886,Bon,35
7466,218527,Czek,111
7467,229578,Gotówka,94
7468,139338,Bon,59
7469,100549,Karta,89
7470,167488,Czek,67
7471,125959,Czek,107
7472,269655,Czek,63
7473,39717,Bon,88
7474,289728,Gotówka,16
7475,93211,Gotówka,10
7476,35689,Czek,28
7477,145494,Czek,122
7478,78322,Bon,99
7479,115367,Gotówka,62
7480,273321,Karta,90
7481,96205,Bon,88
7482,249460,Gotówka,22
7483,45624,Karta,1
7484,197689,Bon,10
7485,22703,Karta,124
7486,108351,Bon,13
7487,282048,Gotówka,93
7488,103074,Karta,139
7489,133226,Czek,10
7490,119640,Bon,59
7491,239430,Karta,12
7492,223663,Bon,79
7493,94869,Karta,61
7494,113407,Karta,58
7495,159747,Bon,72
7496,76861,Gotówka,147
7497,42274,Bon,63
7498,213477,Karta,88
7499,254035,Gotówka,119
7500,40773,Czek,124
7501,267561,Czek,76
7502,260525,Czek,147
7503,13066,Gotówka,58
7504,223280,Czek,18
7505,175427,Bon,74
7506,186958,Gotówka,47
7507,44123,Gotówka,34
7508,242221,Karta,56
7509,296915,Bon,100
7510,32093,Czek,4
7511,141077,Czek,148
7512,191973,Karta,21
7513,148717,Bon,57
7514,16792,Gotówka,126
7515,7599,Bon,72
7516,141958,Gotówka,91
7517,152332,Gotówka,40
7518,158844,Karta,30
7519,260264,Bon,81
7520,39388,Bon,144
7521,114262,Czek,105
7522,79711,Bon,127
7523,7136,Karta,130
7524,284366,Bon,145
7525,8475,Gotówka,16
7526,272763,Czek,58
7527,153490,Gotówka,32
7528,261549,Karta,76
7529,212826,Gotówka,150
7530,191199,Karta,27
7531,227301,Gotówka,28
7532,178097,Karta,30
7533,187504,Czek,133
7534,32837,Gotówka,45
7535,62792,Karta,20
7536,224129,Czek,119
7537,109900,Czek,146
7538,217523,Czek,37
7539,268709,Bon,104
7540,192192,Gotówka,139
7541,81303,Czek,107
7542,148165,Bon,78
7543,47130,Czek,68
7544,286279,Czek,65
7545,84967,Bon,133
7546,152705,Karta,53
7547,159733,Bon,54
7548,266198,Gotówka,84
7549,71102,Czek,111
7550,16620,Bon,71
7551,197015,Karta,3
7552,269528,Bon,76
7553,164285,Czek,136
7554,66240,Gotówka,108
7555,298102,Bon,70
7556,70111,Bon,124
7557,291734,Karta,103
7558,156472,Czek,101
7559,99874,Bon,121
7560,274289,Bon,2
7561,245632,Gotówka,120
7562,18148,Karta,52
7563,210355,Bon,50
7564,277959,Czek,62
7565,298747,Bon,21
7566,13131,Gotówka,4
7567,231954,Gotówka,44
7568,169745,Czek,86
7569,253150,Czek,19
7570,122337,Bon,112
7571,44665,Bon,77
7572,42814,Czek,149
7573,211794,Bon,94
7574,97452,Karta,100
7575,135993,Gotówka,48
7576,27297,Gotówka,108
7577,106490,Gotówka,39
7578,38845,Karta,10
7579,9984,Gotówka,98
7580,38268,Czek,110
7581,217208,Bon,33
7582,227780,Gotówka,8
7583,204952,Gotówka,112
7584,46732,Bon,52
7585,87154,Bon,88
7586,165146,Gotówka,106
7587,144005,Gotówka,98
7588,270019,Bon,85
7589,148530,Karta,65
7590,170338,Gotówka,114
7591,27221,Czek,0
7592,37124,Czek,123
7593,178142,Gotówka,66
7594,55688,Czek,108
7595,92862,Czek,88
7596,259589,Karta,70
7597,299053,Bon,6
7598,298268,Bon,108
7599,222087,Czek,85
7600,7022,Czek,12
7601,243512,Gotówka,17
7602,29078,Karta,103
7603,186983,Czek,56
7604,264503,Karta,91
7605,205293,Karta,55
7606,142529,Czek,67
7607,50704,Karta,136
7608,161893,Bon,80
7609,273240,Czek,5
7610,17811,Gotówka,27
7611,254457,Bon,64
7612,226984,Karta,92
7613,205882,Bon,124
7614,145595,Czek,70
7615,6621,Karta,135
7616,44410,Bon,114
7617,282296,Bon,49
7618,6038,Karta,78
7619,165784,Gotówka,21
7620,108291,Czek,112
7621,104418,Gotówka,99
7622,149022,Karta,112
7623,258698,Karta,107
7624,283005,Bon,86
7625,249277,Bon,115
7626,203038,Karta,98
7627,59271,Gotówka,130
7628,188388,Karta,87
7629,246930,Gotówka,13
7630,282110,Gotówka,77
7631,155199,Karta,122
7632,294257,Bon,54
7633,236913,Gotówka,134
7634,179688,Bon,16
7635,123919,Karta,78
7636,171514,Bon,101
7637,291350,Czek,126
7638,168775,Karta,11
7639,88011,Gotówka,23
7640,59093,Bon,27
7641,45515,Gotówka,123
7642,133493,Czek,122
7643,167031,Gotówka,132
7644,47711,Czek,64
7645,162362,Czek,108
7646,212913,Bon,31
7647,234665,Bon,62
7648,52272,Gotówka,77
7649,104562,Gotówka,58
7650,51041,Gotówka,58
7651,195246,Gotówka,75
7652,123405,Bon,143
7653,257617,Bon,29
7654,133068,Karta,20
7655,249903,Bon,22
7656,191815,Karta,143
7657,296978,Bon,88
7658,217891,Czek,126
7659,290170,Gotówka,22
7660,106259,Karta,43
7661,154482,Karta,76
7662,295314,Gotówka,66
7663,274265,Gotówka,37
7664,23134,Karta,60
7665,234498,Bon,78
7666,147744,Czek,102
7667,258502,Karta,64
7668,117433,Bon,82
7669,83741,Bon,138
7670,190706,Czek,122
7671,30450,Gotówka,69
7672,61748,Bon,110
7673,125898,Gotówka,13
7674,61486,Bon,131
7675,158474,Czek,21
7676,156857,Czek,59
7677,290200,Gotówka,21
7678,166887,Czek,2
7679,252610,Karta,78
7680,264808,Bon,65
7681,227168,Gotówka,133
7682,265794,Gotówka,6
7683,35664,Karta,1
7684,70152,Bon,101
7685,260824,Bon,146
7686,223039,Karta,24
7687,42591,Bon,130
7688,67408,Czek,76
7689,83131,Bon,68
7690,222225,Czek,31
7691,86051,Bon,127
7692,139782,Bon,94
7693,276329,Karta,47
7694,237103,Karta,3
7695,198019,Bon,143
7696,276890,Karta,113
7697,196173,Bon,139
7698,122658,Gotówka,66
7699,104830,Karta,12
7700,59543,Bon,61
7701,171667,Karta,29
7702,296702,Karta,57
7703,55550,Karta,126
7704,179298,Czek,16
7705,73003,Karta,136
7706,237731,Karta,75
7707,22418,Karta,2
7708,73387,Bon,38
7709,24230,Czek,33
7710,185521,Czek,2
7711,179024,Gotówka,1
7712,222749,Karta,58
7713,179634,Gotówka,66
7714,152745,Czek,11
7715,233099,Karta,82
7716,219069,Karta,94
7717,156766,Czek,148
7718,58213,Gotówka,49
7719,177842,Gotówka,89
7720,236972,Karta,134
7721,123217,Bon,102
7722,284860,Bon,18
7723,24720,Czek,27
7724,67058,Bon,26
7725,27530,Bon,98
7726,239956,Bon,38
7727,55302,Czek,33
7728,260689,Gotówka,134
