ID,GENDER,TYPE,AGE
31296,M,Zwykły,54
31297,K,Stały klient,40
31298,M,Pracownik,69
31299,M,Zwykły,8
31300,K,Stały klient,52
31301,K,Pracownik,23
31302,K,Zwykły,11
31303,M,Zwykły,35
31304,K,Pracownik,42
31305,M,Pracownik,50
31306,M,Stały klient,16
31307,K,Zwykły,44
31308,K,Pracownik,25
31309,K,Pracownik,12
31310,K,Stały klient,58
31311,K,Pracownik,4
31312,M,Pracownik,27
31313,M,Stały klient,12
31314,K,Zwykły,20
31315,M,Pracownik,47
31316,M,Stały klient,2
31317,K,Pracownik,25
31318,M,Pracownik,73
31319,M,Zwykły,26
31320,K,Zwykły,37
31321,K,Pracownik,29
31322,M,Zwykły,27
31323,M,Pracownik,4
31324,M,Pracownik,10
31325,M,Pracownik,73
31326,K,Stały klient,2
31327,M,Stały klient,7
31328,M,Zwykły,26
31329,K,Stały klient,13
31330,M,Stały klient,34
31331,M,Zwykły,1
31332,M,Stały klient,75
31333,M,Zwykły,19
31334,M,Pracownik,8
31335,M,Stały klient,30
31336,M,Zwykły,17
31337,K,Pracownik,19
31338,M,Stały klient,56
31339,K,Zwykły,14
31340,K,Stały klient,65
31341,K,Stały klient,54
31342,K,Stały klient,39
31343,K,Stały klient,19
31344,K,Pracownik,21
31345,K,Zwykły,37
31346,M,Zwykły,51
31347,M,Stały klient,3
31348,K,Pracownik,35
31349,K,Pracownik,36
31350,M,Pracownik,40
31351,M,Stały klient,26
31352,M,Zwykły,23
31353,M,Stały klient,23
31354,K,Stały klient,21
31355,M,Pracownik,22
31356,K,Stały klient,75
31357,K,Stały klient,57
31358,K,Stały klient,71
31359,K,Zwykły,68
31360,K,Zwykły,54
31361,M,Zwykły,39
31362,M,Stały klient,7
31363,K,Zwykły,64
31364,K,Zwykły,46
31365,M,Zwykły,55
31366,M,Zwykły,23
31367,K,Zwykły,73
31368,K,Pracownik,33
31369,M,Pracownik,51
31370,K,Pracownik,13
31371,K,Stały klient,77
31372,M,Pracownik,33
31373,M,Zwykły,37
31374,K,Pracownik,71
31375,M,Zwykły,52
31376,M,Zwykły,3
31377,K,Zwykły,16
31378,M,Stały klient,43
31379,M,Pracownik,31
31380,K,Stały klient,13
31381,K,Stały klient,17
31382,K,Pracownik,75
31383,K,Pracownik,9
31384,M,Stały klient,30
31385,K,Stały klient,62
31386,M,Zwykły,25
31387,K,Pracownik,40
31388,K,Stały klient,8
31389,K,Stały klient,58
31390,K,Stały klient,31
31391,M,Stały klient,3
31392,K,Zwykły,38
31393,K,Stały klient,13
31394,M,Zwykły,24
31395,K,Zwykły,25
31396,M,Pracownik,1
31397,K,Zwykły,15
31398,K,Stały klient,72
31399,M,Zwykły,23
31400,K,Zwykły,74
31401,M,Pracownik,34
31402,K,Pracownik,20
31403,M,Pracownik,34
31404,K,Pracownik,21
31405,M,Stały klient,26
31406,M,Pracownik,6
31407,M,Zwykły,53
31408,M,Zwykły,11
31409,K,Zwykły,17
31410,K,Pracownik,59
31411,M,Stały klient,0
31412,K,Pracownik,13
31413,K,Stały klient,62
31414,M,Stały klient,55
31415,M,Pracownik,67
31416,K,Pracownik,45
31417,K,Zwykły,13
31418,K,Zwykły,21
31419,K,Zwykły,76
31420,M,Stały klient,34
31421,M,Stały klient,11
31422,K,Zwykły,51
31423,K,Zwykły,30
31424,K,Stały klient,69
31425,M,Pracownik,17
31426,K,Pracownik,13
31427,K,Zwykły,73
31428,K,Stały klient,6
31429,K,Stały klient,14
31430,K,Zwykły,11
31431,K,Pracownik,8
31432,K,Stały klient,28
31433,K,Zwykły,67
31434,K,Stały klient,43
31435,K,Zwykły,49
31436,K,Zwykły,22
31437,M,Pracownik,7
31438,M,Pracownik,70
31439,K,Zwykły,65
31440,K,Stały klient,72
31441,M,Stały klient,55
31442,K,Pracownik,14
31443,K,Stały klient,37
31444,M,Stały klient,27
31445,M,Stały klient,0
31446,K,Pracownik,60
31447,M,Stały klient,37
31448,K,Stały klient,27
31449,M,Pracownik,55
31450,M,Zwykły,66
31451,K,Pracownik,67
31452,M,Zwykły,57
31453,K,Zwykły,76
31454,K,Stały klient,20
31455,M,Pracownik,56
31456,K,Pracownik,6
31457,M,Zwykły,11
31458,K,Pracownik,33
31459,K,Pracownik,11
31460,M,Pracownik,24
31461,M,Stały klient,64
31462,K,Zwykły,27
31463,K,Pracownik,37
31464,K,Pracownik,32
31465,K,Pracownik,2
31466,K,Stały klient,43
31467,K,Pracownik,8
31468,M,Zwykły,53
31469,K,Stały klient,65
31470,M,Pracownik,74
31471,M,Stały klient,54
31472,K,Zwykły,71
31473,M,Stały klient,6
31474,M,Pracownik,43
31475,K,Stały klient,34
31476,M,Zwykły,33
31477,K,Stały klient,2
31478,M,Pracownik,15
31479,M,Zwykły,37
31480,K,Stały klient,70
31481,M,Pracownik,35
31482,K,Pracownik,56
31483,K,Stały klient,18
31484,K,Pracownik,28
31485,K,Stały klient,44
31486,K,Pracownik,35
31487,K,Stały klient,10
31488,K,Pracownik,5
31489,K,Pracownik,35
31490,K,Pracownik,7
31491,M,Pracownik,65
31492,M,Stały klient,12
31493,M,Pracownik,46
31494,M,Pracownik,24
31495,K,Zwykły,62
31496,K,Zwykły,73
31497,K,Zwykły,68
31498,K,Pracownik,64
31499,K,Pracownik,29
31500,M,Stały klient,74
31501,M,Pracownik,8
31502,K,Pracownik,25
31503,M,Zwykły,29
31504,M,Stały klient,28
31505,M,Pracownik,32
31506,K,Stały klient,69
31507,K,Zwykły,39
31508,K,Zwykły,40
31509,K,Pracownik,46
31510,M,Zwykły,4
31511,K,Stały klient,56
31512,K,Pracownik,35
31513,M,Stały klient,38
31514,M,Stały klient,5
31515,M,Pracownik,57
31516,M,Pracownik,49
31517,K,Stały klient,55
31518,K,Stały klient,15
31519,K,Zwykły,63
31520,K,Stały klient,43
31521,K,Pracownik,36
31522,M,Pracownik,1
31523,K,Zwykły,57
31524,M,Stały klient,79
31525,M,Zwykły,57
31526,K,Stały klient,68
31527,K,Pracownik,57
31528,K,Pracownik,40
31529,K,Pracownik,68
31530,M,Zwykły,18
31531,M,Stały klient,34
31532,K,Zwykły,69
31533,M,Stały klient,74
31534,M,Zwykły,52
31535,K,Pracownik,49
31536,K,Pracownik,52
31537,M,Pracownik,72
31538,K,Pracownik,17
31539,M,Pracownik,27
31540,M,Pracownik,0
31541,M,Stały klient,74
31542,M,Pracownik,53
31543,M,Pracownik,53
31544,M,Pracownik,74
31545,M,Zwykły,25
31546,M,Stały klient,50
31547,K,Zwykły,11
31548,K,Stały klient,51
31549,K,Pracownik,25
31550,K,Stały klient,51
31551,K,Pracownik,16
31552,M,Pracownik,24
31553,K,Zwykły,0
31554,M,Pracownik,79
31555,M,Pracownik,12
31556,M,Stały klient,0
31557,M,Stały klient,32
31558,K,Zwykły,9
31559,M,Stały klient,2
31560,K,Stały klient,79
31561,M,Stały klient,43
31562,K,Zwykły,70
31563,M,Zwykły,67
31564,K,Stały klient,70
31565,M,Stały klient,24
31566,K,Stały klient,0
31567,M,Zwykły,29
31568,K,Pracownik,8
31569,K,Pracownik,45
31570,M,Zwykły,47
31571,M,Stały klient,63
31572,M,Zwykły,59
31573,M,Zwykły,39
31574,K,Pracownik,33
31575,M,Zwykły,8
31576,M,Pracownik,63
31577,M,Zwykły,35
31578,M,Pracownik,28
31579,K,Pracownik,52
31580,M,Zwykły,31
31581,K,Stały klient,79
31582,K,Pracownik,0
31583,K,Stały klient,63
31584,K,Zwykły,20
31585,M,Pracownik,62
31586,M,Stały klient,48
31587,K,Zwykły,52
31588,M,Pracownik,79
31589,M,Stały klient,68
31590,K,Stały klient,29
31591,K,Stały klient,43
31592,M,Stały klient,55
31593,M,Zwykły,25
31594,M,Zwykły,30
31595,K,Zwykły,58
31596,K,Stały klient,38
31597,M,Stały klient,7
31598,M,Stały klient,75
31599,K,Pracownik,76
31600,K,Stały klient,63
31601,M,Stały klient,1
31602,M,Stały klient,24
31603,M,Stały klient,8
31604,M,Pracownik,34
31605,M,Zwykły,77
31606,M,Pracownik,3
31607,M,Pracownik,48
31608,M,Pracownik,25
31609,M,Stały klient,14
31610,M,Stały klient,73
31611,M,Stały klient,68
31612,K,Zwykły,67
31613,K,Zwykły,76
31614,M,Stały klient,69
31615,K,Stały klient,16
31616,M,Stały klient,41
31617,M,Pracownik,42
31618,M,Pracownik,0
31619,K,Zwykły,52
31620,M,Zwykły,48
31621,K,Pracownik,72
31622,K,Zwykły,73
31623,M,Pracownik,41
31624,M,Stały klient,10
31625,K,Pracownik,40
31626,M,Stały klient,46
31627,M,Pracownik,15
31628,K,Pracownik,48
31629,M,Stały klient,37
31630,K,Stały klient,38
31631,K,Zwykły,34
31632,M,Pracownik,71
31633,M,Zwykły,68
31634,M,Stały klient,3
31635,K,Pracownik,63
31636,M,Stały klient,3
31637,M,Stały klient,25
31638,K,Stały klient,37
31639,K,Zwykły,21
31640,M,Zwykły,61
31641,K,Pracownik,45
31642,K,Zwykły,45
31643,K,Zwykły,66
31644,M,Stały klient,65
31645,M,Pracownik,66
31646,K,Pracownik,55
31647,M,Pracownik,9
31648,M,Stały klient,56
31649,K,Zwykły,12
31650,K,Stały klient,38
31651,K,Zwykły,50
31652,M,Stały klient,18
31653,K,Stały klient,78
31654,M,Pracownik,0
31655,K,Stały klient,52
31656,K,Stały klient,13
31657,K,Stały klient,37
31658,M,Zwykły,71
31659,K,Zwykły,59
31660,K,Pracownik,55
31661,K,Pracownik,55
31662,K,Pracownik,32
31663,M,Zwykły,0
31664,K,Zwykły,49
31665,M,Pracownik,20
31666,K,Stały klient,34
31667,M,Stały klient,70
31668,K,Stały klient,30
31669,M,Zwykły,14
31670,M,Stały klient,62
31671,M,Stały klient,67
31672,M,Stały klient,37
31673,K,Pracownik,43
31674,K,Pracownik,19
31675,M,Pracownik,63
31676,K,Zwykły,47
31677,K,Stały klient,14
31678,M,Zwykły,30
31679,M,Pracownik,31
31680,K,Zwykły,54
31681,M,Zwykły,8
31682,M,Pracownik,17
31683,M,Stały klient,18
31684,K,Stały klient,36
31685,K,Zwykły,6
31686,M,Pracownik,74
31687,M,Pracownik,70
31688,K,Zwykły,50
31689,K,Stały klient,36
31690,M,Stały klient,40
31691,K,Pracownik,27
31692,K,Pracownik,79
31693,M,Zwykły,2
31694,M,Pracownik,2
31695,M,Stały klient,80
31696,M,Pracownik,77
31697,K,Stały klient,62
31698,K,Zwykły,47
31699,M,Stały klient,79
31700,M,Pracownik,53
31701,M,Stały klient,60
31702,K,Pracownik,63
31703,M,Stały klient,6
31704,K,Zwykły,31
31705,M,Stały klient,18
31706,K,Stały klient,54
31707,K,Zwykły,18
31708,K,Pracownik,43
31709,M,Zwykły,22
31710,K,Stały klient,77
31711,M,Pracownik,51
31712,M,Stały klient,10
31713,M,Zwykły,24
31714,K,Stały klient,15
31715,M,Stały klient,73
31716,M,Pracownik,57
31717,K,Pracownik,19
31718,K,Pracownik,45
31719,M,Zwykły,13
31720,M,Stały klient,78
31721,K,Pracownik,64
31722,M,Pracownik,8
31723,K,Stały klient,7
31724,K,Zwykły,31
31725,M,Pracownik,66
31726,M,Zwykły,15
31727,K,Zwykły,46
31728,M,Zwykły,7
31729,K,Pracownik,17
31730,K,Pracownik,70
31731,K,Pracownik,63
31732,K,Zwykły,52
31733,M,Stały klient,12
31734,K,Zwykły,3
31735,M,Stały klient,63
31736,K,Stały klient,69
31737,M,Stały klient,74
31738,K,Stały klient,19
31739,K,Pracownik,55
31740,K,Zwykły,21
31741,K,Pracownik,48
31742,M,Stały klient,50
31743,K,Pracownik,1
31744,M,Zwykły,35
31745,K,Zwykły,32
31746,M,Stały klient,52
31747,M,Zwykły,63
31748,K,Zwykły,34
31749,K,Zwykły,54
31750,K,Stały klient,74
31751,K,Pracownik,10
31752,K,Pracownik,60
31753,M,Stały klient,24
31754,K,Pracownik,27
31755,K,Stały klient,51
31756,M,Pracownik,15
31757,M,Stały klient,40
31758,M,Pracownik,0
31759,K,Pracownik,80
31760,K,Zwykły,72
31761,M,Stały klient,25
31762,K,Stały klient,27
31763,K,Zwykły,54
31764,K,Pracownik,4
31765,K,Pracownik,12
31766,K,Zwykły,5
31767,K,Zwykły,0
31768,M,Pracownik,79
31769,K,Pracownik,31
31770,K,Zwykły,15
31771,K,Stały klient,17
31772,K,Pracownik,68
31773,M,Stały klient,29
31774,M,Zwykły,15
31775,M,Pracownik,21
31776,K,Pracownik,17
31777,K,Zwykły,1
31778,M,Pracownik,66
31779,M,Stały klient,28
31780,M,Stały klient,24
31781,K,Stały klient,36
31782,K,Zwykły,74
31783,M,Stały klient,31
31784,K,Stały klient,61
31785,K,Stały klient,73
31786,M,Stały klient,12
31787,M,Zwykły,7
31788,K,Zwykły,64
31789,M,Pracownik,46
31790,M,Pracownik,64
31791,M,Pracownik,25
31792,K,Zwykły,66
31793,M,Pracownik,46
31794,K,Zwykły,34
31795,K,Pracownik,70
31796,M,Stały klient,30
31797,K,Stały klient,53
31798,M,Stały klient,30
31799,M,Zwykły,44
31800,K,Stały klient,25
31801,K,Pracownik,74
31802,K,Stały klient,50
31803,K,Zwykły,8
31804,M,Zwykły,6
31805,M,Stały klient,47
31806,M,Pracownik,0
31807,M,Pracownik,46
31808,K,Zwykły,45
31809,M,Zwykły,69
31810,K,Stały klient,55
31811,K,Stały klient,21
31812,K,Zwykły,15
31813,K,Pracownik,59
31814,M,Pracownik,69
31815,M,Stały klient,22
31816,K,Stały klient,64
31817,M,Stały klient,48
31818,K,Pracownik,12
31819,M,Stały klient,49
31820,K,Zwykły,76
31821,K,Stały klient,60
31822,K,Pracownik,17
31823,M,Zwykły,45
31824,K,Stały klient,12
31825,K,Zwykły,1
31826,K,Stały klient,62
31827,M,Pracownik,59
31828,K,Stały klient,76
31829,M,Stały klient,51
31830,M,Stały klient,50
31831,K,Stały klient,57
31832,K,Zwykły,73
31833,K,Stały klient,34
31834,K,Zwykły,46
31835,M,Stały klient,70
31836,K,Pracownik,27
31837,M,Stały klient,19
31838,K,Zwykły,61
31839,M,Zwykły,16
31840,M,Pracownik,38
31841,K,Pracownik,55
31842,M,Zwykły,11
31843,K,Stały klient,6
31844,K,Pracownik,68
31845,M,Stały klient,59
31846,K,Pracownik,62
31847,M,Zwykły,67
31848,M,Pracownik,8
31849,M,Zwykły,34
31850,K,Zwykły,20
31851,K,Zwykły,43
31852,M,Zwykły,32
31853,M,Stały klient,56
31854,M,Pracownik,37
31855,M,Zwykły,25
31856,M,Pracownik,72
31857,M,Stały klient,57
31858,M,Stały klient,24
31859,M,Zwykły,72
31860,M,Stały klient,18
31861,K,Pracownik,57
31862,K,Pracownik,70
31863,K,Zwykły,7
31864,K,Zwykły,9
31865,K,Pracownik,53
31866,M,Pracownik,30
31867,M,Zwykły,6
31868,M,Pracownik,66
31869,M,Stały klient,42
31870,M,Zwykły,71
31871,M,Zwykły,59
31872,M,Pracownik,68
31873,K,Stały klient,31
31874,K,Zwykły,54
31875,K,Pracownik,62
31876,K,Zwykły,4
31877,M,Zwykły,39
31878,K,Zwykły,28
31879,K,Zwykły,72
31880,K,Pracownik,1
31881,K,Pracownik,48
31882,M,Zwykły,13
31883,K,Stały klient,13
31884,M,Pracownik,67
31885,K,Stały klient,35
31886,M,Stały klient,74
31887,K,Zwykły,4
31888,M,Pracownik,48
31889,K,Pracownik,48
31890,K,Zwykły,74
31891,M,Stały klient,73
31892,M,Zwykły,58
31893,M,Zwykły,3
31894,M,Zwykły,41
31895,K,Zwykły,10
31896,M,Zwykły,0
31897,M,Pracownik,28
31898,K,Zwykły,57
31899,K,Stały klient,60
31900,M,Pracownik,10
31901,K,Pracownik,47
31902,K,Pracownik,51
31903,M,Zwykły,55
31904,K,Stały klient,35
31905,K,Stały klient,70
31906,M,Stały klient,2
31907,M,Pracownik,76
31908,M,Zwykły,43
31909,K,Pracownik,64
31910,M,Zwykły,18
31911,M,Pracownik,1
31912,K,Stały klient,75
31913,K,Pracownik,73
31914,K,Stały klient,68
31915,K,Pracownik,55
31916,K,Zwykły,17
31917,K,Stały klient,49
31918,M,Pracownik,59
31919,M,Zwykły,80
31920,M,Pracownik,74
31921,M,Pracownik,47
31922,M,Pracownik,68
31923,M,Pracownik,53
31924,M,Zwykły,30
31925,M,Zwykły,4
31926,K,Stały klient,57
31927,M,Stały klient,33
31928,M,Zwykły,19
31929,M,Stały klient,74
31930,M,Zwykły,11
31931,K,Pracownik,20
31932,K,Stały klient,33
31933,M,Stały klient,72
31934,K,Pracownik,21
31935,K,Stały klient,2
31936,K,Zwykły,10
31937,K,Zwykły,13
31938,M,Stały klient,28
31939,M,Stały klient,57
31940,M,Stały klient,55
31941,M,Pracownik,7
31942,M,Stały klient,28
31943,K,Zwykły,66
31944,M,Pracownik,11
31945,K,Zwykły,44
31946,M,Stały klient,26
31947,M,Zwykły,47
31948,K,Pracownik,11
31949,K,Pracownik,14
31950,M,Pracownik,36
31951,M,Stały klient,46
31952,M,Zwykły,64
31953,M,Pracownik,19
31954,M,Stały klient,7
31955,K,Pracownik,80
31956,M,Stały klient,11
31957,M,Stały klient,17
31958,M,Zwykły,18
31959,K,Pracownik,35
31960,M,Pracownik,3
31961,K,Pracownik,54
31962,K,Zwykły,64
31963,M,Pracownik,46
31964,K,Zwykły,18
31965,K,Zwykły,69
31966,K,Stały klient,1
31967,M,Zwykły,6
31968,M,Stały klient,61
31969,K,Pracownik,7
31970,K,Stały klient,32
31971,M,Pracownik,16
31972,M,Zwykły,6
31973,M,Pracownik,69
31974,K,Zwykły,31
31975,M,Zwykły,35
31976,K,Zwykły,66
31977,M,Zwykły,77
31978,K,Zwykły,16
31979,K,Stały klient,28
31980,K,Stały klient,11
31981,K,Pracownik,54
31982,M,Zwykły,41
31983,M,Pracownik,72
31984,M,Stały klient,28
31985,M,Stały klient,31
31986,M,Zwykły,8
31987,M,Zwykły,22
31988,M,Stały klient,78
31989,M,Pracownik,72
31990,M,Stały klient,73
31991,K,Stały klient,59
31992,M,Pracownik,43
31993,M,Stały klient,77
31994,M,Stały klient,54
31995,K,Pracownik,43
31996,K,Pracownik,46
31997,K,Zwykły,33
31998,K,Pracownik,16
31999,M,Zwykły,31
32000,M,Pracownik,62
32001,K,Pracownik,42
32002,K,Stały klient,69
32003,K,Pracownik,9
32004,K,Pracownik,29
32005,M,Stały klient,45
32006,M,Zwykły,5
32007,K,Pracownik,67
32008,M,Zwykły,50
32009,K,Stały klient,70
32010,K,Stały klient,37
32011,M,Stały klient,21
32012,M,Zwykły,72
32013,M,Pracownik,39
32014,M,Stały klient,18
32015,M,Zwykły,18
32016,M,Stały klient,72
32017,M,Zwykły,52
32018,M,Zwykły,74
32019,M,Pracownik,71
32020,M,Zwykły,51
32021,M,Zwykły,47
32022,K,Stały klient,31
32023,K,Zwykły,36
32024,M,Stały klient,19
32025,M,Pracownik,78
32026,K,Zwykły,13
32027,M,Stały klient,17
32028,M,Zwykły,36
32029,M,Zwykły,47
32030,M,Stały klient,35
32031,K,Stały klient,51
32032,M,Pracownik,36
32033,K,Zwykły,72
32034,M,Pracownik,49
32035,K,Stały klient,74
32036,M,Stały klient,48
32037,K,Stały klient,0
32038,K,Pracownik,0
32039,K,Zwykły,72
32040,K,Zwykły,54
32041,M,Zwykły,73
32042,M,Zwykły,11
32043,M,Zwykły,11
32044,K,Pracownik,8
32045,K,Stały klient,62
32046,M,Zwykły,75
32047,K,Pracownik,15
32048,M,Pracownik,50
32049,M,Pracownik,56
32050,K,Zwykły,8
32051,K,Zwykły,11
32052,K,Zwykły,13
32053,K,Stały klient,40
32054,K,Pracownik,34
32055,M,Stały klient,25
32056,K,Zwykły,38
32057,M,Pracownik,43
32058,M,Zwykły,50
32059,K,Pracownik,28
32060,K,Pracownik,70
32061,K,Stały klient,51
32062,K,Pracownik,3
32063,M,Stały klient,50
32064,K,Zwykły,69
32065,K,Stały klient,8
32066,M,Stały klient,31
32067,K,Zwykły,2
32068,M,Pracownik,61
32069,K,Stały klient,60
32070,M,Stały klient,45
32071,K,Zwykły,80
32072,K,Pracownik,31
32073,M,Stały klient,18
32074,M,Stały klient,62
32075,M,Stały klient,19
32076,K,Stały klient,7
32077,K,Stały klient,34
32078,K,Pracownik,30
32079,K,Zwykły,63
32080,K,Pracownik,78
32081,K,Zwykły,38
32082,M,Pracownik,72
32083,K,Zwykły,73
32084,M,Stały klient,35
32085,M,Stały klient,22
32086,M,Pracownik,64
32087,K,Pracownik,20
32088,M,Pracownik,33
32089,M,Stały klient,42
32090,M,Zwykły,67
32091,M,Pracownik,31
32092,M,Pracownik,5
32093,M,Stały klient,22
32094,K,Zwykły,2
32095,M,Pracownik,76
32096,K,Pracownik,1
32097,K,Pracownik,32
32098,K,Stały klient,76
32099,M,Pracownik,53
32100,M,Pracownik,0
32101,K,Pracownik,36
32102,K,Zwykły,49
32103,K,Stały klient,41
32104,K,Pracownik,18
32105,K,Zwykły,2
32106,M,Zwykły,8
32107,M,Zwykły,15
32108,M,Stały klient,60
32109,M,Pracownik,7
32110,M,Zwykły,63
32111,K,Zwykły,39
32112,K,Pracownik,53
32113,K,Stały klient,71
32114,M,Zwykły,23
32115,K,Pracownik,42
32116,K,Stały klient,53
32117,M,Pracownik,4
32118,K,Stały klient,39
32119,M,Zwykły,27
32120,K,Stały klient,32
32121,K,Pracownik,48
32122,K,Stały klient,21
32123,K,Pracownik,66
32124,M,Zwykły,40
32125,K,Zwykły,16
32126,M,Zwykły,1
32127,K,Zwykły,73
32128,M,Pracownik,22
32129,K,Stały klient,15
32130,K,Zwykły,15
32131,M,Stały klient,78
32132,M,Pracownik,20
32133,K,Stały klient,42
32134,M,Pracownik,47
32135,K,Zwykły,63
32136,M,Zwykły,63
32137,M,Zwykły,36
32138,K,Stały klient,37
32139,M,Zwykły,42
32140,M,Pracownik,24
32141,K,Pracownik,77
32142,M,Stały klient,1
32143,K,Pracownik,78
32144,M,Pracownik,31
32145,M,Zwykły,6
32146,K,Stały klient,21
32147,K,Pracownik,19
32148,K,Zwykły,51
32149,K,Pracownik,29
32150,M,Zwykły,40
32151,M,Pracownik,13
32152,M,Stały klient,52
32153,K,Pracownik,59
32154,K,Zwykły,19
32155,K,Pracownik,75
32156,K,Stały klient,48
32157,K,Pracownik,11
32158,M,Zwykły,31
32159,M,Zwykły,32
32160,M,Zwykły,4
32161,K,Zwykły,19
32162,M,Stały klient,67
32163,M,Stały klient,43
32164,K,Pracownik,54
32165,K,Pracownik,34
32166,K,Zwykły,33
32167,M,Pracownik,37
32168,K,Zwykły,69
32169,K,Zwykły,74
32170,M,Zwykły,79
32171,K,Stały klient,63
32172,K,Pracownik,28
32173,M,Zwykły,15
32174,M,Zwykły,73
32175,M,Stały klient,59
32176,M,Stały klient,42
32177,K,Zwykły,62
32178,K,Stały klient,27
32179,K,Pracownik,40
32180,K,Stały klient,19
32181,M,Zwykły,48
32182,K,Zwykły,20
32183,M,Pracownik,28
32184,M,Zwykły,67
32185,M,Pracownik,68
32186,K,Stały klient,52
32187,K,Pracownik,28
32188,M,Stały klient,13
32189,K,Zwykły,42
32190,K,Pracownik,48
32191,M,Pracownik,39
32192,K,Zwykły,26
32193,M,Zwykły,11
32194,K,Stały klient,40
32195,K,Stały klient,38
32196,K,Zwykły,78
32197,M,Zwykły,25
32198,K,Zwykły,37
32199,K,Stały klient,63
32200,K,Zwykły,79
32201,K,Pracownik,63
32202,K,Zwykły,62
32203,M,Stały klient,15
32204,K,Zwykły,0
32205,K,Pracownik,57
32206,M,Pracownik,76
32207,M,Zwykły,33
32208,M,Pracownik,63
32209,M,Stały klient,3
32210,M,Pracownik,38
32211,K,Stały klient,56
32212,M,Zwykły,16
32213,K,Zwykły,64
32214,M,Stały klient,75
32215,K,Stały klient,75
32216,M,Zwykły,68
32217,M,Stały klient,65
32218,M,Stały klient,19
32219,M,Pracownik,49
32220,K,Pracownik,51
32221,M,Stały klient,46
32222,M,Pracownik,6
32223,M,Pracownik,12
32224,M,Pracownik,67
32225,K,Stały klient,40
32226,K,Zwykły,47
32227,M,Zwykły,73
32228,K,Pracownik,70
32229,K,Zwykły,65
32230,M,Pracownik,34
32231,K,Zwykły,43
32232,M,Zwykły,79
32233,M,Zwykły,34
32234,K,Pracownik,38
32235,K,Zwykły,25
32236,M,Pracownik,53
32237,K,Stały klient,12
32238,M,Zwykły,27
32239,M,Pracownik,6
32240,K,Zwykły,24
32241,M,Pracownik,38
32242,M,Pracownik,9
32243,K,Zwykły,53
32244,K,Zwykły,28
32245,K,Zwykły,0
32246,M,Zwykły,11
32247,M,Zwykły,42
32248,K,Stały klient,0
32249,K,Pracownik,73
32250,M,Stały klient,65
32251,K,Zwykły,72
32252,K,Pracownik,70
32253,K,Pracownik,13
32254,K,Stały klient,45
32255,M,Pracownik,13
32256,M,Stały klient,59
32257,K,Pracownik,68
32258,M,Zwykły,60
32259,M,Stały klient,66
32260,M,Stały klient,25
32261,K,Zwykły,53
32262,M,Stały klient,52
32263,M,Zwykły,27
32264,M,Stały klient,37
32265,K,Pracownik,10
32266,K,Zwykły,51
32267,K,Stały klient,69
32268,M,Stały klient,3
32269,K,Zwykły,35
32270,M,Stały klient,44
32271,M,Stały klient,25
32272,M,Zwykły,41
32273,K,Pracownik,33
32274,M,Zwykły,7
32275,K,Stały klient,67
32276,M,Zwykły,1
32277,M,Zwykły,11
32278,K,Pracownik,6
32279,M,Pracownik,64
32280,K,Pracownik,22
32281,K,Stały klient,23
32282,K,Pracownik,80
32283,M,Stały klient,57
32284,M,Pracownik,4
32285,M,Stały klient,70
32286,M,Zwykły,56
32287,K,Pracownik,61
32288,M,Stały klient,43
32289,K,Stały klient,19
32290,K,Pracownik,67
32291,M,Pracownik,24
32292,K,Zwykły,25
32293,K,Zwykły,23
32294,K,Zwykły,21
32295,M,Zwykły,10
32296,M,Stały klient,56
32297,K,Pracownik,61
32298,K,Pracownik,9
32299,K,Pracownik,69
32300,K,Stały klient,38
32301,M,Zwykły,37
32302,K,Zwykły,49
32303,K,Stały klient,78
32304,K,Zwykły,21
32305,K,Stały klient,28
32306,M,Stały klient,54
32307,M,Stały klient,3
32308,M,Zwykły,37
32309,K,Zwykły,50
32310,K,Pracownik,23
32311,K,Pracownik,22
32312,K,Pracownik,64
32313,M,Pracownik,11
32314,M,Zwykły,2
32315,M,Stały klient,63
32316,K,Zwykły,80
32317,K,Zwykły,71
32318,M,Stały klient,22
32319,K,Stały klient,42
32320,K,Pracownik,77
32321,K,Stały klient,48
32322,K,Zwykły,55
32323,M,Pracownik,68
32324,M,Stały klient,6
32325,M,Zwykły,78
32326,K,Pracownik,0
32327,M,Zwykły,25
32328,M,Stały klient,7
32329,M,Zwykły,49
32330,K,Stały klient,13
32331,M,Stały klient,8
32332,M,Stały klient,50
32333,M,Stały klient,43
32334,K,Stały klient,49
32335,M,Stały klient,42
32336,M,Stały klient,54
32337,K,Pracownik,9
32338,K,Zwykły,37
32339,M,Zwykły,63
32340,M,Stały klient,62
32341,M,Stały klient,34
32342,K,Stały klient,9
32343,M,Pracownik,36
32344,M,Zwykły,36
32345,K,Zwykły,2
32346,K,Zwykły,13
32347,M,Zwykły,75
32348,K,Pracownik,47
32349,K,Stały klient,16
32350,K,Zwykły,79
32351,K,Zwykły,71
32352,M,Stały klient,74
32353,M,Stały klient,46
32354,M,Zwykły,79
32355,K,Stały klient,44
32356,M,Zwykły,65
32357,M,Stały klient,52
32358,K,Zwykły,78
32359,K,Pracownik,10
32360,K,Zwykły,25
32361,K,Stały klient,34
32362,M,Stały klient,60
32363,M,Stały klient,20
32364,M,Stały klient,19
32365,M,Stały klient,53
32366,M,Pracownik,2
32367,K,Stały klient,38
32368,K,Pracownik,56
32369,K,Pracownik,59
32370,M,Stały klient,55
