ID,GENDER,AGE,TYPE
7174,K,68,Stały klient
7175,M,0,Pracownik
7176,M,16,Stały klient
7177,K,47,Zwykły
7178,K,60,Zwykły
7179,K,24,Stały klient
7180,M,4,Pracownik
7181,M,36,Zwykły
7182,K,41,Stały klient
7183,K,8,Pracownik
7184,M,7,Stały klient
7185,M,58,Zwykły
7186,M,78,Stały klient
7187,K,66,Zwykły
7188,M,34,Pracownik
7189,M,8,Pracownik
7190,M,13,Zwykły
7191,K,53,Pracownik
7192,K,0,Pracownik
7193,K,68,Zwykły
7194,K,18,Pracownik
7195,K,32,Zwykły
7196,K,38,Pracownik
7197,K,4,Pracownik
7198,M,22,Stały klient
7199,K,68,Pracownik
7200,K,43,Pracownik
7201,M,61,Zwykły
7202,K,48,Zwykły
7203,K,41,Zwykły
7204,M,48,Stały klient
7205,M,28,Zwykły
7206,M,39,Stały klient
7207,K,70,Zwykły
7208,K,23,Pracownik
7209,M,36,Stały klient
7210,K,57,Zwykły
7211,K,45,Pracownik
7212,K,59,Zwykły
7213,K,23,Stały klient
7214,M,0,Zwykły
7215,K,74,Pracownik
7216,M,67,Pracownik
7217,M,61,Pracownik
7218,M,41,Zwykły
7219,M,30,Stały klient
7220,K,58,Pracownik
7221,K,17,Pracownik
7222,M,6,Zwykły
7223,K,25,Zwykły
7224,K,79,Pracownik
7225,M,39,Pracownik
7226,M,15,Stały klient
7227,K,27,Pracownik
7228,K,49,Stały klient
7229,M,33,Stały klient
7230,M,4,Pracownik
7231,K,12,Zwykły
7232,M,46,Zwykły
7233,M,59,Pracownik
7234,M,71,Pracownik
7235,M,68,Pracownik
7236,M,57,Zwykły
7237,K,71,Zwykły
7238,K,8,Pracownik
7239,K,72,Pracownik
7240,K,45,Stały klient
7241,K,17,Stały klient
7242,M,23,Zwykły
7243,M,78,Zwykły
7244,M,22,Pracownik
7245,K,2,Pracownik
7246,K,57,Stały klient
7247,K,13,Stały klient
7248,M,45,Pracownik
7249,K,14,Pracownik
7250,M,60,Pracownik
7251,K,16,Stały klient
7252,K,14,Stały klient
7253,K,12,Pracownik
7254,K,23,Zwykły
7255,M,32,Zwykły
7256,K,27,Stały klient
7257,K,26,Zwykły
7258,M,55,Pracownik
7259,M,71,Zwykły
7260,K,59,Pracownik
7261,M,41,Stały klient
7262,K,5,Stały klient
7263,M,25,Stały klient
7264,M,77,Zwykły
7265,M,25,Pracownik
7266,K,42,Stały klient
7267,M,62,Stały klient
7268,K,63,Pracownik
7269,M,7,Stały klient
7270,M,38,Stały klient
7271,M,53,Stały klient
7272,K,7,Pracownik
7273,M,3,Zwykły
7274,M,14,Stały klient
7275,K,7,Stały klient
7276,M,17,Zwykły
7277,M,46,Stały klient
7278,M,35,Zwykły
7279,M,2,Stały klient
7280,M,66,Stały klient
7281,M,18,Stały klient
7282,M,19,Zwykły
7283,M,50,Pracownik
7284,K,2,Stały klient
7285,K,59,Stały klient
7286,K,31,Stały klient
7287,K,67,Stały klient
7288,K,39,Pracownik
7289,K,11,Zwykły
7290,M,56,Pracownik
7291,M,57,Pracownik
7292,M,78,Zwykły
7293,M,26,Stały klient
7294,M,71,Zwykły
7295,M,15,Zwykły
7296,K,46,Stały klient
7297,K,62,Stały klient
7298,K,79,Stały klient
7299,M,10,Zwykły
7300,K,50,Stały klient
7301,K,80,Pracownik
7302,M,41,Pracownik
7303,K,18,Zwykły
7304,K,37,Zwykły
7305,K,59,Pracownik
7306,K,65,Pracownik
7307,K,8,Stały klient
7308,M,44,Pracownik
7309,M,69,Pracownik
7310,M,73,Pracownik
7311,K,43,Stały klient
7312,M,17,Pracownik
7313,K,45,Pracownik
7314,M,67,Stały klient
7315,K,40,Stały klient
7316,K,0,Stały klient
7317,K,36,Stały klient
7318,M,47,Zwykły
7319,K,48,Pracownik
7320,M,6,Zwykły
7321,M,45,Stały klient
7322,M,76,Stały klient
7323,M,80,Pracownik
7324,K,15,Zwykły
7325,M,22,Pracownik
7326,K,33,Stały klient
7327,M,9,Stały klient
7328,M,40,Zwykły
7329,K,15,Zwykły
7330,K,0,Pracownik
7331,K,6,Zwykły
7332,M,58,Stały klient
7333,K,35,Zwykły
7334,M,18,Pracownik
7335,K,15,Zwykły
7336,M,23,Stały klient
7337,K,16,Stały klient
7338,M,56,Zwykły
7339,M,11,Pracownik
7340,K,37,Pracownik
7341,M,12,Zwykły
7342,M,20,Zwykły
7343,K,58,Stały klient
7344,M,58,Pracownik
7345,K,28,Stały klient
7346,M,63,Pracownik
7347,K,67,Stały klient
7348,M,14,Zwykły
7349,M,54,Stały klient
7350,K,21,Zwykły
7351,K,43,Pracownik
7352,M,72,Zwykły
7353,K,51,Zwykły
7354,K,12,Pracownik
7355,M,29,Stały klient
7356,K,42,Stały klient
7357,K,66,Zwykły
7358,M,29,Stały klient
7359,M,62,Pracownik
7360,M,36,Stały klient
7361,K,61,Zwykły
7362,K,34,Zwykły
7363,M,22,Zwykły
7364,K,56,Stały klient
7365,K,64,Zwykły
7366,M,20,Stały klient
7367,M,29,Pracownik
7368,K,8,Stały klient
7369,K,22,Pracownik
7370,M,79,Stały klient
7371,K,21,Zwykły
7372,M,5,Pracownik
7373,K,11,Stały klient
7374,K,32,Zwykły
7375,K,48,Stały klient
7376,M,3,Zwykły
7377,M,72,Pracownik
7378,M,11,Zwykły
7379,K,1,Zwykły
7380,K,65,Pracownik
7381,K,27,Zwykły
7382,M,62,Stały klient
7383,M,9,Zwykły
7384,M,44,Pracownik
7385,K,19,Zwykły
7386,K,51,Stały klient
7387,K,14,Zwykły
7388,M,13,Pracownik
7389,K,4,Zwykły
7390,M,70,Stały klient
7391,K,12,Pracownik
7392,M,5,Pracownik
7393,K,72,Stały klient
7394,M,73,Stały klient
7395,M,54,Stały klient
7396,K,4,Pracownik
7397,K,69,Stały klient
7398,K,31,Zwykły
7399,M,53,Stały klient
7400,K,69,Pracownik
7401,M,26,Zwykły
7402,M,24,Zwykły
7403,K,80,Pracownik
7404,K,12,Pracownik
7405,K,75,Zwykły
7406,K,33,Pracownik
7407,M,42,Pracownik
7408,K,3,Stały klient
7409,K,50,Zwykły
7410,K,49,Zwykły
7411,K,41,Stały klient
7412,M,0,Pracownik
7413,M,17,Pracownik
7414,K,22,Stały klient
7415,M,55,Zwykły
7416,K,5,Stały klient
7417,M,10,Zwykły
7418,K,38,Pracownik
7419,K,70,Stały klient
7420,M,67,Pracownik
7421,M,75,Stały klient
7422,M,44,Zwykły
7423,M,18,Pracownik
7424,M,22,Stały klient
7425,K,22,Pracownik
7426,K,13,Pracownik
7427,M,2,Stały klient
7428,M,40,Pracownik
7429,M,11,Stały klient
7430,K,65,Stały klient
7431,K,0,Zwykły
7432,K,66,Zwykły
7433,M,33,Pracownik
7434,M,20,Zwykły
7435,K,1,Stały klient
7436,M,60,Stały klient
7437,K,65,Pracownik
7438,K,11,Pracownik
7439,M,61,Zwykły
7440,K,35,Stały klient
7441,M,67,Pracownik
7442,M,48,Zwykły
7443,K,42,Stały klient
7444,K,62,Pracownik
7445,K,20,Stały klient
7446,K,77,Pracownik
7447,K,16,Zwykły
7448,M,49,Zwykły
7449,K,71,Stały klient
7450,K,37,Stały klient
7451,K,45,Pracownik
7452,K,62,Pracownik
7453,M,33,Pracownik
7454,K,77,Zwykły
7455,M,13,Pracownik
7456,K,44,Pracownik
7457,K,7,Zwykły
7458,K,36,Zwykły
7459,M,58,Zwykły
7460,M,78,Zwykły
7461,M,70,Stały klient
7462,K,30,Stały klient
7463,M,77,Zwykły
7464,K,19,Zwykły
7465,K,2,Zwykły
7466,K,55,Pracownik
7467,K,7,Stały klient
7468,K,46,Pracownik
7469,M,52,Zwykły
7470,K,11,Zwykły
7471,M,52,Stały klient
7472,K,77,Zwykły
7473,M,37,Stały klient
7474,M,0,Pracownik
7475,K,19,Zwykły
7476,K,58,Pracownik
7477,M,9,Stały klient
7478,M,48,Zwykły
7479,M,42,Pracownik
7480,M,42,Pracownik
7481,M,40,Zwykły
7482,M,34,Stały klient
7483,K,9,Stały klient
7484,K,78,Zwykły
7485,M,79,Stały klient
7486,K,38,Zwykły
7487,K,3,Zwykły
7488,M,32,Stały klient
7489,M,1,Pracownik
7490,M,50,Stały klient
7491,K,32,Zwykły
7492,K,18,Pracownik
7493,K,33,Stały klient
7494,K,67,Stały klient
7495,M,61,Stały klient
7496,M,9,Stały klient
7497,K,22,Stały klient
7498,K,16,Stały klient
7499,K,59,Zwykły
7500,M,9,Pracownik
7501,K,62,Stały klient
7502,K,65,Pracownik
7503,K,18,Zwykły
7504,M,14,Zwykły
7505,K,53,Zwykły
7506,K,48,Pracownik
7507,K,4,Pracownik
7508,K,73,Stały klient
7509,M,45,Zwykły
7510,K,71,Pracownik
7511,K,33,Stały klient
7512,M,33,Pracownik
7513,M,3,Stały klient
7514,K,41,Zwykły
7515,M,31,Pracownik
7516,M,30,Zwykły
7517,M,74,Zwykły
7518,K,42,Pracownik
7519,M,80,Stały klient
7520,K,31,Stały klient
7521,M,51,Stały klient
7522,M,35,Zwykły
7523,M,52,Zwykły
7524,K,39,Zwykły
7525,K,3,Stały klient
7526,M,47,Zwykły
7527,K,45,Pracownik
7528,M,65,Zwykły
7529,K,44,Zwykły
7530,K,28,Pracownik
7531,M,40,Pracownik
7532,K,64,Pracownik
7533,M,76,Stały klient
7534,K,36,Zwykły
7535,K,25,Pracownik
7536,K,74,Stały klient
7537,K,10,Zwykły
7538,M,70,Stały klient
7539,M,66,Stały klient
7540,M,16,Zwykły
7541,M,34,Stały klient
7542,K,14,Zwykły
7543,M,20,Pracownik
7544,K,22,Stały klient
7545,K,20,Stały klient
7546,M,46,Pracownik
7547,K,58,Zwykły
7548,K,52,Stały klient
7549,M,20,Pracownik
7550,M,69,Stały klient
7551,K,65,Pracownik
7552,K,52,Zwykły
7553,M,42,Stały klient
7554,M,75,Zwykły
7555,M,67,Pracownik
7556,M,53,Stały klient
7557,M,44,Pracownik
7558,M,47,Zwykły
7559,M,70,Zwykły
7560,M,34,Zwykły
7561,M,23,Pracownik
7562,M,40,Pracownik
7563,M,31,Zwykły
7564,M,70,Zwykły
7565,M,28,Stały klient
7566,K,59,Pracownik
7567,M,13,Stały klient
7568,M,49,Pracownik
7569,M,61,Zwykły
7570,M,1,Zwykły
7571,K,38,Zwykły
7572,K,24,Pracownik
7573,M,55,Zwykły
7574,M,63,Pracownik
7575,K,19,Stały klient
7576,K,61,Stały klient
7577,K,43,Zwykły
7578,K,79,Pracownik
7579,M,69,Zwykły
7580,M,45,Stały klient
7581,M,19,Stały klient
7582,K,60,Pracownik
7583,K,18,Stały klient
7584,K,7,Pracownik
7585,M,35,Zwykły
7586,M,23,Zwykły
7587,K,14,Stały klient
7588,K,51,Zwykły
7589,M,13,Pracownik
7590,M,15,Zwykły
7591,K,8,Zwykły
7592,M,65,Stały klient
7593,M,25,Zwykły
7594,K,75,Pracownik
7595,K,7,Stały klient
7596,K,35,Zwykły
7597,K,30,Stały klient
7598,K,70,Zwykły
7599,M,29,Pracownik
7600,K,62,Pracownik
7601,K,55,Stały klient
7602,K,45,Zwykły
7603,M,60,Stały klient
7604,M,58,Pracownik
7605,M,22,Stały klient
7606,K,6,Zwykły
7607,M,49,Pracownik
7608,M,25,Zwykły
7609,M,22,Zwykły
7610,K,48,Pracownik
7611,M,39,Zwykły
7612,K,73,Zwykły
7613,K,34,Pracownik
7614,K,47,Stały klient
7615,M,31,Zwykły
7616,K,62,Stały klient
7617,M,74,Stały klient
7618,K,48,Stały klient
7619,K,74,Stały klient
7620,K,23,Pracownik
7621,M,52,Stały klient
7622,M,34,Zwykły
7623,M,12,Pracownik
7624,M,54,Pracownik
7625,K,73,Zwykły
7626,K,20,Zwykły
7627,K,74,Zwykły
7628,M,43,Zwykły
7629,K,80,Pracownik
7630,K,56,Zwykły
7631,K,56,Stały klient
7632,M,44,Zwykły
7633,M,69,Stały klient
7634,M,33,Stały klient
7635,M,69,Zwykły
7636,M,68,Pracownik
7637,K,67,Zwykły
7638,M,30,Zwykły
7639,M,76,Stały klient
7640,M,50,Pracownik
7641,M,53,Zwykły
7642,K,3,Pracownik
7643,M,77,Pracownik
7644,K,4,Stały klient
7645,M,11,Zwykły
7646,M,79,Pracownik
7647,M,74,Zwykły
7648,K,13,Zwykły
7649,K,60,Stały klient
7650,K,58,Zwykły
7651,M,23,Pracownik
7652,K,6,Stały klient
7653,K,65,Zwykły
7654,M,39,Pracownik
7655,K,10,Stały klient
7656,K,49,Stały klient
7657,M,65,Zwykły
7658,M,76,Stały klient
7659,M,62,Pracownik
7660,M,50,Stały klient
7661,M,41,Pracownik
7662,K,7,Zwykły
7663,M,20,Pracownik
7664,K,47,Zwykły
7665,K,12,Pracownik
7666,M,12,Stały klient
7667,K,55,Zwykły
7668,M,29,Zwykły
7669,K,13,Zwykły
7670,M,61,Stały klient
7671,K,80,Zwykły
7672,K,72,Stały klient
7673,K,39,Pracownik
7674,M,14,Zwykły
7675,M,56,Pracownik
7676,M,13,Zwykły
7677,M,33,Pracownik
7678,M,10,Zwykły
7679,K,71,Zwykły
7680,K,41,Zwykły
7681,M,28,Pracownik
7682,M,59,Pracownik
7683,K,25,Pracownik
7684,K,73,Zwykły
7685,M,70,Pracownik
7686,K,31,Stały klient
7687,K,53,Zwykły
7688,M,13,Zwykły
7689,K,64,Zwykły
7690,K,65,Stały klient
7691,M,60,Zwykły
7692,K,26,Stały klient
7693,M,44,Stały klient
7694,K,71,Pracownik
7695,M,28,Stały klient
7696,K,3,Zwykły
7697,M,62,Stały klient
7698,K,2,Zwykły
7699,M,51,Zwykły
7700,M,60,Stały klient
7701,M,24,Stały klient
7702,K,27,Zwykły
7703,K,29,Zwykły
7704,K,79,Zwykły
7705,K,11,Pracownik
7706,M,38,Zwykły
7707,M,50,Zwykły
7708,K,62,Zwykły
7709,M,72,Pracownik
7710,M,5,Pracownik
7711,K,75,Stały klient
7712,M,69,Pracownik
7713,M,21,Pracownik
7714,K,67,Zwykły
7715,K,6,Pracownik
7716,M,7,Stały klient
7717,M,50,Zwykły
7718,K,3,Stały klient
7719,K,33,Pracownik
7720,K,33,Zwykły
7721,M,58,Stały klient
7722,M,9,Pracownik
7723,M,55,Stały klient
7724,M,56,Pracownik
7725,M,34,Stały klient
7726,K,57,Zwykły
7727,M,25,Pracownik
7728,K,76,Pracownik
7729,M,47,Pracownik
7730,K,79,Stały klient
7731,M,56,Zwykły
7732,M,40,Pracownik
7733,M,57,Zwykły
7734,M,68,Stały klient
7735,K,53,Pracownik
7736,M,36,Pracownik
7737,K,47,Pracownik
7738,K,43,Pracownik
7739,M,42,Zwykły
7740,M,78,Zwykły
7741,K,33,Pracownik
7742,K,54,Stały klient
7743,K,50,Zwykły
7744,M,21,Pracownik
7745,K,29,Pracownik
7746,M,4,Zwykły
7747,K,62,Zwykły
7748,K,10,Zwykły
7749,K,7,Zwykły
7750,K,60,Zwykły
7751,M,10,Pracownik
7752,M,24,Zwykły
7753,M,28,Zwykły
7754,K,65,Pracownik
7755,M,77,Pracownik
7756,M,63,Zwykły
7757,K,77,Stały klient
7758,K,15,Stały klient
7759,M,42,Pracownik
7760,K,53,Stały klient
7761,K,32,Pracownik
7762,M,75,Stały klient
7763,K,3,Zwykły
7764,K,46,Pracownik
7765,K,70,Stały klient
7766,K,61,Pracownik
7767,K,11,Stały klient
7768,K,23,Stały klient
7769,M,44,Pracownik
7770,K,22,Pracownik
7771,M,70,Stały klient
7772,K,62,Zwykły
7773,K,80,Pracownik
7774,M,78,Pracownik
7775,K,70,Stały klient
7776,M,37,Zwykły
7777,K,49,Zwykły
7778,M,4,Zwykły
7779,K,60,Zwykły
7780,M,80,Stały klient
7781,M,67,Pracownik
7782,K,47,Zwykły
7783,M,41,Zwykły
7784,M,67,Stały klient
7785,M,54,Zwykły
7786,M,19,Pracownik
7787,M,77,Pracownik
7788,M,1,Pracownik
7789,K,14,Stały klient
7790,K,71,Pracownik
7791,M,25,Zwykły
7792,M,57,Zwykły
7793,M,11,Pracownik
7794,K,63,Zwykły
7795,K,59,Pracownik
7796,K,80,Zwykły
7797,K,73,Stały klient
7798,K,43,Stały klient
7799,M,28,Pracownik
7800,K,11,Zwykły
7801,K,15,Stały klient
7802,K,54,Pracownik
7803,K,35,Pracownik
7804,M,16,Zwykły
7805,M,78,Zwykły
7806,M,16,Pracownik
7807,K,52,Zwykły
7808,K,6,Stały klient
7809,K,50,Pracownik
7810,K,53,Stały klient
7811,M,50,Zwykły
7812,M,41,Zwykły
7813,M,30,Stały klient
7814,M,5,Stały klient
7815,M,67,Zwykły
7816,M,38,Pracownik
7817,K,79,Pracownik
7818,M,64,Pracownik
7819,K,3,Stały klient
7820,K,37,Stały klient
7821,K,11,Zwykły
7822,M,65,Zwykły
7823,K,49,Zwykły
7824,K,77,Zwykły
7825,K,75,Pracownik
7826,M,53,Zwykły
7827,M,63,Pracownik
7828,M,80,Pracownik
7829,M,3,Pracownik
7830,M,49,Stały klient
7831,M,55,Pracownik
7832,K,70,Zwykły
7833,M,24,Pracownik
7834,K,21,Stały klient
7835,K,40,Stały klient
7836,K,71,Stały klient
7837,M,61,Zwykły
7838,K,59,Zwykły
7839,K,26,Pracownik
7840,K,36,Pracownik
7841,M,70,Pracownik
7842,M,41,Pracownik
7843,M,22,Stały klient
7844,M,3,Zwykły
7845,K,42,Zwykły
7846,K,53,Stały klient
7847,K,18,Pracownik
7848,K,5,Pracownik
7849,K,38,Zwykły
7850,M,39,Stały klient
7851,K,63,Pracownik
7852,K,77,Stały klient
7853,K,11,Pracownik
7854,K,20,Stały klient
7855,K,19,Pracownik
7856,K,23,Stały klient
7857,K,75,Stały klient
7858,M,61,Zwykły
7859,M,33,Zwykły
7860,M,4,Pracownik
7861,K,58,Pracownik
7862,M,49,Pracownik
7863,M,71,Pracownik
7864,K,16,Zwykły
7865,K,13,Zwykły
7866,K,20,Stały klient
7867,M,66,Zwykły
7868,K,75,Stały klient
7869,K,18,Stały klient
7870,K,40,Pracownik
7871,M,37,Stały klient
7872,K,67,Zwykły
7873,M,34,Pracownik
7874,M,75,Stały klient
7875,M,41,Zwykły
7876,K,35,Pracownik
7877,K,60,Pracownik
7878,K,8,Stały klient
7879,K,7,Pracownik
7880,M,12,Pracownik
7881,K,32,Stały klient
7882,K,52,Stały klient
7883,M,78,Zwykły
7884,K,44,Stały klient
7885,M,21,Pracownik
7886,K,71,Stały klient
7887,M,77,Zwykły
7888,K,24,Zwykły
7889,M,68,Stały klient
7890,M,63,Zwykły
7891,K,32,Pracownik
7892,M,55,Stały klient
7893,M,79,Zwykły
7894,M,71,Pracownik
7895,M,70,Pracownik
7896,M,34,Stały klient
7897,M,0,Pracownik
7898,M,60,Stały klient
7899,M,68,Stały klient
7900,K,54,Pracownik
7901,K,0,Stały klient
7902,M,17,Pracownik
7903,K,72,Pracownik
7904,K,37,Stały klient
7905,M,38,Zwykły
7906,M,38,Stały klient
7907,K,60,Pracownik
7908,M,68,Pracownik
7909,K,12,Stały klient
7910,M,11,Stały klient
7911,K,64,Stały klient
7912,M,40,Stały klient
7913,K,57,Stały klient
7914,K,8,Stały klient
7915,K,29,Zwykły
7916,K,50,Zwykły
7917,K,69,Zwykły
7918,K,57,Pracownik
7919,K,73,Zwykły
7920,K,24,Zwykły
7921,K,3,Stały klient
7922,M,21,Pracownik
7923,M,33,Stały klient
7924,K,60,Stały klient
7925,K,65,Stały klient
7926,M,9,Stały klient
7927,M,4,Zwykły
7928,M,34,Stały klient
7929,K,70,Stały klient
7930,M,73,Stały klient
7931,M,48,Pracownik
7932,M,36,Stały klient
7933,K,46,Stały klient
7934,M,1,Pracownik
7935,M,74,Stały klient
7936,M,20,Stały klient
7937,M,71,Zwykły
7938,K,1,Pracownik
7939,K,27,Pracownik
7940,M,7,Stały klient
7941,M,56,Stały klient
7942,K,75,Pracownik
7943,K,78,Stały klient
7944,M,68,Zwykły
7945,M,79,Zwykły
7946,M,34,Pracownik
7947,M,75,Zwykły
7948,K,48,Zwykły
7949,M,31,Zwykły
7950,K,50,Stały klient
7951,M,19,Pracownik
7952,K,76,Stały klient
7953,M,40,Stały klient
7954,K,78,Stały klient
7955,M,29,Pracownik
7956,M,30,Stały klient
7957,M,51,Stały klient
7958,K,19,Pracownik
7959,M,77,Pracownik
7960,K,57,Zwykły
7961,K,60,Stały klient
7962,K,18,Pracownik
7963,M,23,Pracownik
7964,K,20,Pracownik
7965,K,6,Pracownik
7966,M,8,Stały klient
7967,K,15,Zwykły
7968,K,9,Stały klient
7969,M,40,Zwykły
7970,K,30,Zwykły
7971,M,36,Zwykły
7972,M,21,Zwykły
7973,K,44,Zwykły
7974,K,58,Stały klient
7975,M,13,Pracownik
7976,M,78,Pracownik
7977,M,49,Pracownik
7978,M,13,Stały klient
7979,M,11,Stały klient
7980,K,79,Stały klient
7981,M,61,Zwykły
7982,K,47,Zwykły
7983,K,59,Zwykły
7984,M,37,Stały klient
7985,K,47,Pracownik
7986,K,14,Stały klient
7987,M,5,Stały klient
7988,M,77,Stały klient
7989,K,70,Pracownik
7990,K,22,Pracownik
7991,M,77,Stały klient
7992,M,10,Zwykły
7993,M,23,Pracownik
7994,M,34,Pracownik
7995,K,62,Pracownik
7996,M,28,Stały klient
7997,K,73,Pracownik
7998,M,40,Zwykły
7999,M,38,Stały klient
8000,K,53,Stały klient
8001,K,11,Stały klient
8002,K,60,Zwykły
8003,M,9,Pracownik
8004,M,62,Pracownik
8005,M,65,Stały klient
8006,M,14,Pracownik
8007,K,53,Pracownik
8008,M,15,Pracownik
8009,K,10,Pracownik
8010,M,1,Zwykły
8011,M,32,Pracownik
8012,K,28,Pracownik
8013,M,37,Pracownik
8014,K,66,Zwykły
8015,M,37,Pracownik
8016,M,22,Pracownik
8017,M,61,Zwykły
8018,M,66,Zwykły
8019,K,40,Pracownik
8020,M,21,Stały klient
8021,K,30,Zwykły
8022,M,30,Pracownik
8023,K,3,Stały klient
8024,M,14,Stały klient
8025,K,76,Zwykły
8026,K,14,Zwykły
8027,M,5,Pracownik
8028,K,78,Pracownik
8029,M,77,Zwykły
8030,M,25,Pracownik
8031,K,66,Stały klient
8032,K,6,Stały klient
8033,K,61,Pracownik
8034,M,21,Zwykły
8035,K,79,Stały klient
8036,K,36,Pracownik
8037,M,47,Zwykły
8038,K,31,Stały klient
8039,M,1,Pracownik
8040,M,23,Zwykły
8041,M,54,Stały klient
8042,M,41,Stały klient
8043,M,9,Stały klient
8044,K,24,Zwykły
8045,M,30,Zwykły
8046,M,27,Stały klient
8047,K,3,Pracownik
8048,K,55,Pracownik
8049,K,43,Pracownik
8050,M,10,Stały klient
8051,M,44,Pracownik
8052,K,21,Stały klient
8053,K,4,Pracownik
8054,M,49,Zwykły
8055,M,13,Zwykły
8056,K,58,Stały klient
8057,M,6,Pracownik
8058,K,3,Pracownik
8059,M,23,Pracownik
8060,K,48,Zwykły
8061,K,69,Stały klient
8062,K,60,Stały klient
8063,M,12,Pracownik
8064,M,67,Pracownik
8065,M,20,Zwykły
8066,M,78,Zwykły
8067,M,24,Stały klient
8068,K,22,Pracownik
8069,K,80,Pracownik
8070,M,54,Pracownik
8071,M,70,Zwykły
8072,K,21,Zwykły
8073,K,27,Pracownik
8074,M,23,Zwykły
8075,K,20,Zwykły
8076,M,12,Stały klient
8077,K,45,Pracownik
8078,M,11,Zwykły
8079,K,49,Zwykły
8080,K,32,Pracownik
8081,M,61,Stały klient
8082,K,22,Zwykły
8083,M,27,Stały klient
8084,K,27,Stały klient
8085,M,0,Stały klient
8086,M,14,Zwykły
8087,M,21,Stały klient
8088,K,10,Zwykły
8089,K,9,Pracownik
8090,M,48,Stały klient
8091,M,57,Pracownik
8092,M,79,Stały klient
8093,M,66,Stały klient
8094,M,52,Zwykły
8095,K,9,Stały klient
8096,M,8,Zwykły
8097,M,73,Stały klient
8098,M,55,Stały klient
8099,M,7,Stały klient
8100,K,4,Pracownik
8101,M,43,Stały klient
8102,M,76,Pracownik
8103,K,42,Zwykły
8104,M,14,Stały klient
8105,K,75,Pracownik
8106,M,21,Zwykły
8107,M,11,Pracownik
8108,K,2,Pracownik
8109,M,27,Stały klient
8110,M,55,Pracownik
8111,M,8,Zwykły
8112,K,2,Pracownik
8113,K,29,Zwykły
8114,K,5,Pracownik
8115,K,22,Pracownik
8116,M,29,Stały klient
8117,K,57,Zwykły
8118,M,60,Pracownik
8119,M,33,Pracownik
8120,K,72,Zwykły
8121,M,4,Pracownik
8122,M,59,Stały klient
8123,M,41,Stały klient
8124,M,44,Stały klient
8125,K,29,Zwykły
8126,K,58,Zwykły
8127,M,7,Stały klient
8128,M,12,Stały klient
8129,M,22,Stały klient
8130,K,11,Zwykły
8131,K,48,Stały klient
8132,M,12,Pracownik
8133,M,8,Zwykły
8134,M,33,Zwykły
8135,K,26,Pracownik
8136,K,75,Stały klient
8137,K,46,Zwykły
8138,M,46,Pracownik
8139,K,31,Pracownik
8140,M,9,Stały klient
8141,K,33,Zwykły
8142,K,59,Stały klient
8143,M,26,Stały klient
8144,M,38,Pracownik
8145,M,55,Stały klient
8146,K,80,Zwykły
8147,M,47,Pracownik
8148,K,67,Pracownik
8149,M,31,Zwykły
8150,K,1,Stały klient
8151,M,76,Pracownik
8152,M,34,Stały klient
8153,K,40,Zwykły
8154,M,19,Stały klient
8155,K,41,Stały klient
8156,K,59,Pracownik
8157,M,66,Pracownik
8158,M,70,Stały klient
8159,M,59,Pracownik
8160,M,41,Stały klient
8161,K,11,Pracownik
8162,M,52,Zwykły
8163,K,48,Zwykły
8164,M,45,Stały klient
8165,M,0,Stały klient
8166,M,76,Stały klient
8167,K,42,Zwykły
8168,K,65,Pracownik
8169,M,80,Stały klient
8170,K,0,Zwykły
8171,M,75,Zwykły
8172,K,18,Stały klient
8173,K,29,Pracownik
8174,K,54,Pracownik
8175,K,26,Pracownik
8176,M,24,Zwykły
8177,M,45,Zwykły
8178,M,72,Pracownik
8179,K,59,Zwykły
8180,K,43,Stały klient
8181,K,0,Pracownik
8182,K,74,Zwykły
8183,K,51,Pracownik
8184,M,52,Stały klient
8185,M,71,Pracownik
8186,M,67,Pracownik
8187,K,46,Stały klient
8188,M,76,Pracownik
8189,M,63,Stały klient
8190,K,64,Pracownik
8191,M,72,Pracownik
8192,K,52,Zwykły
8193,K,27,Pracownik
8194,M,79,Zwykły
8195,M,10,Zwykły
8196,K,77,Stały klient
8197,M,66,Stały klient
8198,M,68,Stały klient
8199,K,20,Zwykły
8200,M,27,Zwykły
8201,M,11,Stały klient
8202,M,26,Stały klient
8203,M,13,Stały klient
8204,K,78,Stały klient
8205,K,39,Stały klient
8206,K,15,Stały klient
8207,K,49,Pracownik
8208,M,61,Stały klient
8209,K,64,Zwykły
8210,K,79,Zwykły
8211,K,61,Stały klient
8212,M,37,Zwykły
8213,M,22,Stały klient
8214,K,62,Stały klient
8215,K,23,Stały klient
8216,K,77,Pracownik
8217,M,29,Pracownik
8218,M,23,Stały klient
8219,M,74,Stały klient
8220,M,22,Pracownik
8221,K,25,Pracownik
8222,K,79,Zwykły
8223,K,46,Zwykły
8224,K,52,Pracownik
8225,M,55,Pracownik
8226,M,4,Pracownik
8227,M,78,Pracownik
8228,K,54,Stały klient
8229,K,77,Stały klient
8230,M,64,Pracownik
8231,M,71,Zwykły
8232,K,18,Stały klient
8233,K,75,Pracownik
8234,K,4,Pracownik
8235,M,35,Stały klient
8236,M,44,Zwykły
8237,M,55,Zwykły
8238,M,33,Zwykły
8239,M,52,Pracownik
8240,K,67,Pracownik
8241,K,66,Zwykły
8242,K,60,Pracownik
8243,M,78,Zwykły
8244,M,14,Zwykły
8245,M,32,Stały klient
8246,M,28,Pracownik
8247,M,21,Zwykły
8248,K,20,Stały klient
